1,A Dijiang,M,China
2,A Lamusi,M,China
3,Christine Jacoba Aaftink,F,Netherlands
4,Per Knut Aaland,M,United States
5,John Aalberg,M,United States
6,Antti Sami Aalto,M,Finland
7,Jyri Tapani Aalto,M,Finland
8,Pirjo Hannele Aalto (Mattila-),F,Finland
9,Juhamatti Tapio Aaltonen,M,Finland
10,Paavo Johannes Aaltonen,M,Finland
11,Timo Antero Aaltonen,M,Finland
12,Kjetil Andr Aamodt,M,Norway
13,Andreea Aanei,F,Romania
14,Fritz Aanes,M,Norway
15,Agnes Erika Aanonsen (-Eyde),F,Norway
16,Jan-Erik Aarberg,M,Norway
17,Pepijn Aardewijn,M,Netherlands
18,Evald rma (rman-),M,Estonia
19,Mika Lauri Aarnikka,M,Finland
20,Jamale (Djamel-) Aarrass (Ahrass-),M,France
21,Dagfinn Sverre Aarskog,M,Norway
22,Stefan Remco Aartsen,M,Netherlands
23,Ann Kristin Aarnes,F,Norway
24,Morten Gjerdrum Aasen,M,Norway
25,Meelis Aasme,M,Estonia
26,Hans Aasns,M,Norway
27,Erling Rudolf Aastad,M,Norway
28,Moonika Aava,F,Estonia
29,Arvi Aavik,M,Estonia
30,Nstor Abad Sanjun,M,Spain
31,Patrick Abada,M,France
32,Talaat Abada,M,Egypt
33,Antonio Abadia Beci,M,Spain
34,Borislav Abadzhiev,M,Bulgaria
35,Ivan Nikolov Abadzhiev,M,Bulgaria
36,Mikhail Abadzhiev,M,Bulgaria
37,Stefan Abadzhiev,M,Bulgaria
38,Giovanni Abagnale,M,Italy
39,Jos Luis Abajo Gmez,M,Spain
40,Patimat Abakarova,F,Azerbaijan
41,Mariya Vasilyevna Abakumova (-Tarabina),F,Russia
42,Pablo Martn Abal,M,Argentina
43,Tamara Abalde Daz,F,Spain
44,Jess Iory Aball Martnez,M,Cuba
45,Juan Antonio Aball Delgado,M,Cuba
46,Aleksey Aleksandrovich Abalmasov,M,Belarus
47,Luc Abalo,M,France
48,Mara Laura Abalo,F,Argentina
49,Giorgos Abalof,M,Greece
50,Jouan Patrice Abanda Etong,M,Cameroon
51,Antoine Abang,M,Cameroon
52,Jos Mara Abarca Plotas,M,Spain
53,Georgios Abaris,M,Greece
54,Enrique Abaroa Martnez,M,Mexico
55,Stephen Anthony Abas,M,United States
56,Alejandro Abascal Garca,M,Spain
57,Jos Manuel Abascal Gmez,M,Spain
58,Rost'om Omeris dze Abashidze,M,Soviet Union
59,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,Soviet Union
60,Tamila Rashidovna Abasova,F,Russia
61,Emanuele Abate,M,Italy
62,Ignazio Abate,M,Italy
63,Jol Marc Abati,M,France
64,Georgia Abatzidou,F,Greece
65,Carlos Rodolfo Abaunza Balladares,M,Nicaragua
66,Carlos Alberto Abaunza,M,Nicaragua
67,Hctor Abaunza,M,Mexico
68,Pter Abay,M,Hungary
69,Adeyemi Abayomi,M,Nigeria
70,Ilyas Abbadi,M,Algeria
71,Agostino Abbagnale,M,Italy
72,Carmine Abbagnale,M,Italy
73,Giuseppe Abbagnale,M,Italy
74,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,Kuwait
75,Abubakar Abbas Abbas,M,Bahrain
76,Aqarab Abbas,M,Pakistan
77,Aziz Abbas,M,Iraq
78,Bassim Abbas Kati Al-Ogaili,M,Iraq
79,Essa Abbas Faleh Hashem,M,Kuwait
80,Ghulam Abbas,M,Pakistan
81,Maher Abbas,M,Lebanon
82,Mahmoud Abbas,M,Egypt
83,Mohammed Abbas Sabih,M,Iraq
84,Muhammad Abbas,M,Pakistan
85,Nader Sufyan Abbas,M,Qatar
86,Sohail Abbas,M,Pakistan
87,Zulkifli Abbas,M,Malaysia
88,Forough Abbasi,F,Iran
89,Shakeel Abbasi,M,Pakistan
90,Soulmaz Abbasi Azad,F,Iran
91,Ruslan Abbasov,M,Azerbaijan
92,Tural Abbasov,M,Azerbaijan
93,Tran Abbasova,F,Azerbaijan
94,Simona Abbate,F,Italy
95,Christian Abbiati,M,Italy
96,Lois Abbingh,F,Netherlands
97,Alessandro Abbio,M,Italy
98,Giordano Giulio Abbondati,M,Italy
99,Salwan Jasim Abbood Abbood,M,Iraq
100,William "Bill" Abbott Jr.,M,Canada
101,Clare Abbott,F,Ireland
102,David "Dave" Abbott,M,United States
103,Desmond "Des" Abbott,M,Australia
104,Geoffrey Grant Abbott,M,South Africa
105,Jeremy Abbott,M,United States
106,Jeremy Abbott,M,Canada
107,Joanne Abbott,F,Canada
108,Kathryn "Katie" Abbott,F,Canada
109,Mara Katherine Abbott,F,United States
110,Matt Abbott,M,Canada
111,Monica Cecilia Abbott,F,United States
112,Khadija Abbouda,F,Morocco
113,Mohamed Ibrahim Abd El-Fatah Mohamed,M,Egypt
114,Mahmoud Abd El-Kader,M,Egypt
115,Mohamed Ibrahim Abd El-Salam,M,Egypt
116,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,Egypt
117,Ali Abdalla Afringi,M,Eritrea
