4,None,DEN,Gold,Tug-Of-War Men's Tug-Of-War,Tug-Of-War,1900 Summer,1900,Summer,Paris
38,None,FIN,Bronze,Swimming Men's 200 metres Breaststroke,Swimming,1920 Summer,1920,Summer,Antwerpen
39,None,FIN,Bronze,Swimming Men's 400 metres Breaststroke,Swimming,1920 Summer,1920,Summer,Antwerpen
41,None,FIN,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
42,None,FIN,Bronze,Gymnastics Men's Individual All-Around,Gymnastics,1948 Summer,1948,Summer,London
43,None,FIN,Gold,Gymnastics Men's Team All-Around,Gymnastics,1948 Summer,1948,Summer,London
45,None,FIN,Gold,Gymnastics Men's Horse Vault,Gymnastics,1948 Summer,1948,Summer,London
49,None,FIN,Gold,Gymnastics Men's Pommelled Horse,Gymnastics,1948 Summer,1948,Summer,London
51,None,FIN,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1952 Summer,1952,Summer,Helsinki
61,None,NOR,Gold,Alpine Skiing Men's Super G,Alpine Skiing,1992 Winter,1992,Winter,Albertville
62,None,NOR,Bronze,Alpine Skiing Men's Giant Slalom,Alpine Skiing,1992 Winter,1992,Winter,Albertville
64,None,NOR,Silver,Alpine Skiing Men's Downhill,Alpine Skiing,1994 Winter,1994,Winter,Lillehammer
65,None,NOR,Bronze,Alpine Skiing Men's Super G,Alpine Skiing,1994 Winter,1994,Winter,Lillehammer
68,None,NOR,Silver,Alpine Skiing Men's Combined,Alpine Skiing,1994 Winter,1994,Winter,Lillehammer
74,None,NOR,Gold,Alpine Skiing Men's Super G,Alpine Skiing,2002 Winter,2002,Winter,Salt Lake City
77,None,NOR,Gold,Alpine Skiing Men's Combined,Alpine Skiing,2002 Winter,2002,Winter,Salt Lake City
79,None,NOR,Gold,Alpine Skiing Men's Super G,Alpine Skiing,2006 Winter,2006,Winter,Torino
80,None,NOR,Gold,Handball Women's Handball,Handball,2008 Summer,2008,Summer,Beijing
87,None,NOR,Silver,Gymnastics Men's Team All-Around Free System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
92,None,NED,Bronze,Hockey Women's Hockey,Hockey,1988 Summer,1988,Summer,Seoul
93,None,NED,Silver,Rowing Men's Lightweight Double Sculls,Rowing,1996 Summer,1996,Summer,Atlanta
106,None,NOR,Bronze,Football Women's Football,Football,1996 Summer,1996,Summer,Atlanta
107,None,NOR,Silver,Gymnastics Men's Team All-Around Free System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
111,None,NOR,Bronze,Speed Skating Men's 1500 metres,Speed Skating,1952 Winter,1952,Winter,Oslo
114,None,NOR,Gold,Speed Skating Men's 1500 metres,Speed Skating,1960 Winter,1960,Winter,Squaw Valley
118,None,NOR,Gold,Sailing Mixed 8 metres,Sailing,1912 Summer,1912,Summer,Stockholm
151,None,FRA,Gold,Cycling Men's Road Race Team,Cycling,1956 Summer,1956,Summer,Melbourne
159,None,ITA,Bronze,Rowing Men's Coxless Pairs,Rowing,2016 Summer,2016,Summer,Rio de Janeiro
160,None,ESP,Bronze,Fencing Men's epee Individual,Fencing,2008 Summer,2008,Summer,Beijing
162,None,AZE,Bronze,Taekwondo Women's Flyweight,Taekwondo,2016 Summer,2016,Summer,Rio de Janeiro
164,None,RUS,Silver,Athletics Women's Javelin Throw,Athletics,2008 Summer,2008,Summer,Beijing
173,None,BLR,Gold,Canoeing Men's Kayak Fours 1000 metres,Canoeing,2008 Summer,2008,Summer,Beijing
174,None,FRA,Gold,Handball Men's Handball,Handball,2008 Summer,2008,Summer,Beijing
